;; @T(#) @T(#)
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
;;
;;
;; Point pair table: pptable1
;;
pptable1
	DBL 0.00000000000000	DBL 457.050000000000
	DBL 18.0000000000000	DBL 343.740000000000
	DBL 25.0000000000000	DBL 333.510000000000
	DBL 35.0000000000000	DBL 323.250000000000
	DBL 41.0000000000000	DBL 318.440000000000
	DBL 48.0000000000000	DBL 313.650000000000
	DBL 57.0000000000000	DBL 308.370000000000
	DBL 67.0000000000000	DBL 303.320000000000
	DBL 78.0000000000000	DBL 298.450000000000
	DBL 91.0000000000000	DBL 293.330000000000
	DBL 105.000000000000	DBL 288.340000000000
	DBL 120.000000000000	DBL 283.380000000000
	DBL 152.000000000000	DBL 273.400900000000
	DBL 185.000000000000	DBL 262.860000000000
	DBL 199.000000000000	DBL 257.880000000000
	DBL 211.000000000000	DBL 253.120000000000
	DBL 222.000000000000	DBL 248.090000000000
	DBL 232.000000000000	DBL 242.580000000000
	DBL 239.000000000000	DBL 237.810000000000
	DBL 245.000000000000	DBL 232.680000000000
	DBL 255.000000000000	DBL 218.750000000000
	END
;;
;;
;; Point pair table: pptable2
;;
pptable2
	DBL 0.00000000000000	DBL 715.850000000000
	DBL 51.0000000000000	DBL 424.150000000000
	DBL 61.0000000000000	DBL 413.850000000000
	DBL 72.0000000000000	DBL 403.950000000000
	DBL 85.0000000000000	DBL 393.350000000000
	DBL 98.0000000000000	DBL 383.450000000000
	DBL 105.000000000000	DBL 378.250000000000
	DBL 111.000000000000	DBL 373.850000000000
	DBL 118.000000000000	DBL 368.580000000000
	DBL 125.000000000000	DBL 363.200000000000
	DBL 131.000000000000	DBL 358.400000000000
	DBL 137.000000000000	DBL 353.360000000000
	DBL 142.000000000000	DBL 348.900000000000
	DBL 147.000000000000	DBL 344.110000000000
	DBL 152.000000000000	DBL 338.880000000000
	DBL 156.000000000000	DBL 334.250000000000
	DBL 163.000000000000	DBL 324.700000000000
	DBL 169.000000000000	DBL 313.890000000000
	DBL 175.000000000000	DBL 296.930000000000
	DBL 179.000000000000	DBL 271.055000000000
	DBL 255.000000000000	DBL 203.150000000000
	END
;;
;;
;; Point pair table: pptable19
;;
pptable19
	DBL 0.00000000000000	DBL 434.561111111032
	DBL 12.0000000000000	DBL 383.751111110992
	DBL 18.0000000000000	DBL 368.839777777646
	DBL 26.0000000000000	DBL 355.867999999858
	DBL 35.0000000000000	DBL 345.644999999850
	DBL 45.0000000000000	DBL 337.073888888732
	DBL 56.0000000000000	DBL 329.588888888726
	DBL 70.0000000000000	DBL 321.820555555386
	DBL 88.0000000000000	DBL 313.556666666491
	DBL 111.000000000000	DBL 304.609888888706
	DBL 150.000000000000	DBL 291.288888888695
	DBL 190.000000000000	DBL 277.692777777573
	DBL 213.000000000000	DBL 268.690944444233
	DBL 231.000000000000	DBL 259.953399999781
	DBL 244.000000000000	DBL 251.572755555330
	DBL 255.000000000000	DBL 241.624555555322
	END
;;
;;
;; Point pair table: pptable21
;;
pptable21
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 185.000000000000	DBL 3.70000000000000
	DBL 206.000000000000	DBL 4.12000000000000
	DBL 255.000000000000	DBL 4.14000000000000
	END
;;
;;
;; Point pair table: pptable27
;;
pptable27
	DBL 0.00000000000000	DBL 3.78000000000000
	DBL 189.000000000000	DBL 3.78000000000000
	DBL 210.000000000000	DBL 4.20000000000000
	DBL 255.000000000000	DBL 4.22000000000000
	END
;;
;;
;; Point pair table: pptable35
;;
pptable35
	DBL 0.00000000000000	DBL 255.372222222000
	DBL 34.0000000000000	DBL 255.372222222000
	DBL 49.0000000000000	DBL 378.738888888765
	DBL 55.0000000000000	DBL 367.658333333201
	DBL 57.0000000000000	DBL 363.564666666531
	DBL 60.0000000000000	DBL 357.136666666526
	DBL 64.0000000000000	DBL 347.148888888740
	DBL 68.0000000000000	DBL 334.255555555396
	DBL 255.000000000000	DBL 255.372222222000
	END
;;
;;
;; Point pair table: pptable37
;;
pptable37
	DBL 0.00000000000000	DBL 255.372222222000
	DBL 34.0000000000000	DBL 255.372222222000
	DBL 48.0000000000000	DBL 382.755333333213
	DBL 57.0000000000000	DBL 367.637666666534
	DBL 62.0000000000000	DBL 358.044777777638
	DBL 66.0000000000000	DBL 349.063999999853
	DBL 68.0000000000000	DBL 344.037999999849
	DBL 70.0000000000000	DBL 338.448555555400
	DBL 255.000000000000	DBL 255.372222222000
	END
;;
;;
;; Point pair table: pptable36
;;
pptable36
	DBL 0.00000000000000	DBL 5.77500000000000
	DBL 25.0000000000000	DBL 4.60000000000000
	DBL 50.0000000000000	DBL 3.57500000000000
	DBL 75.0000000000000	DBL 2.67500000000000
	DBL 100.000000000000	DBL 1.92500000000000
	DBL 125.000000000000	DBL 1.27500000000000
	DBL 150.000000000000	DBL 0.775000000000000
	DBL 175.000000000000	DBL 0.375000000000000
	DBL 200.000000000000	DBL 0.125000000000000
	DBL 250.000000000000	DBL 0.00000000000000
	END
;;
;;
;; Point pair table: pptable25
;;
pptable25
	DBL 0.00000000000000	DBL 160.000000000000
	DBL 61.0000000000000	DBL 160.000000000000
	DBL 69.0000000000000	DBL 140.000000000000
	DBL 84.0000000000000	DBL 99.9972000000000
	DBL 90.0000000000000	DBL 80.0030000000000
	DBL 97.0000000000000	DBL 60.0013000000000
	DBL 103.000000000000	DBL 40.0000000000000
	DBL 114.000000000000	DBL 0.000400000000000000
	DBL 127.000000000000	DBL -60.0058000000000
	DBL 139.000000000000	DBL -120.000000000000
	DBL 144.000000000000	DBL -153.333360000000
	DBL 255.000000000000	DBL -160.000000000000
	END
;;
;;
;; Point pair table: pptable26
;;
pptable26
	DBL 0.00000000000000	DBL -140.000000000000
	DBL 116.000000000000	DBL -140.000000000000
	DBL 136.000000000000	DBL -125.715210000000
	DBL 142.000000000000	DBL -120.841400000000
	DBL 172.000000000000	DBL -91.0000000000000
	DBL 189.000000000000	DBL -71.1715000000000
	DBL 204.000000000000	DBL -51.3368000000000
	DBL 206.000000000000	DBL -45.0000000000000
	DBL 255.000000000000	DBL -40.0000000000000
	END
;;
;;
;; Point pair table: pptable28
;;
pptable28
	DBL 0.00000000000000	DBL 160.000000000000
	DBL 57.0000000000000	DBL 160.000000000000
	DBL 75.0000000000000	DBL 120.005000000000
	DBL 90.0000000000000	DBL 79.9970000000000
	DBL 103.000000000000	DBL 39.9993000000000
	DBL 108.000000000000	DBL 20.0000000000000
	DBL 114.000000000000	DBL 0.00380000000000000
	DBL 124.000000000000	DBL -40.0000000000000
	DBL 133.000000000000	DBL -79.9953000000000
	DBL 145.000000000000	DBL -140.000000000000
	DBL 147.000000000000	DBL -153.333430000000
	DBL 255.000000000000	DBL -160.000000000000
	END
;;
;;
;; Point pair table: pptable29
;;
pptable29
	DBL 0.00000000000000	DBL -140.000000000000
	DBL 114.000000000000	DBL -140.000000000000
	DBL 137.000000000000	DBL -125.625000000000
	DBL 143.000000000000	DBL -120.838100000000
	DBL 153.000000000000	DBL -111.000000000000
	DBL 164.000000000000	DBL -100.907600000000
	DBL 174.000000000000	DBL -91.0000000000000
	DBL 188.000000000000	DBL -71.4232000000000
	DBL 200.000000000000	DBL -51.6600000000000
	DBL 202.000000000000	DBL -45.0000000000000
	DBL 255.000000000000	DBL -40.0000000000000
	END
;;
;;
;; Point pair table: pptable31
;;
pptable31
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 177.000000000000	DBL 37.0400000000000
	DBL 196.000000000000	DBL 35.9900000000000
	DBL 255.000000000000	DBL 35.9399900000000
	END
;;
;;
;; Point pair table: pptable32
;;
pptable32
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 169.000000000000	DBL 3.38000000000000
	DBL 185.000000000000	DBL 3.70000000000000
	DBL 255.000000000000	DBL 3.72000000000000
	END
;;
;;
;; Point pair table: pptable33
;;
pptable33
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 169.000000000000	DBL 36.0800000000000
	DBL 193.000000000000	DBL 36.9939800000000
	DBL 255.000000000000	DBL 37.0299900000000
	END
;;
;;
;; Point pair table: pptable20
;;
pptable20
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 62.0000000000000	DBL 32.7700000000000
	DBL 100.000000000000	DBL 35.8900000000000
	DBL 225.000000000000	DBL 40.8050000000000
	DBL 233.000000000000	DBL 41.1299800000000
	DBL 255.000000000000	DBL 41.1699900000000
	END
;;
;;
;; Point pair table: pptable22
;;
pptable22
	DBL 0.00000000000000	DBL 0.00000000000000
	DBL 58.0000000000000	DBL 32.4500000000000
	DBL 95.0000000000000	DBL 35.8349900000000
	DBL 226.000000000000	DBL 40.6590000000000
	DBL 231.000000000000	DBL 41.3060000000000
	DBL 255.000000000000	DBL 41.4300000000000
	END
;;
;;
;; Point pair table: pptable50
;;
pptable50
	DBL 0.00000000000000	DBL 412.720000000000
	DBL 12.0000000000000	DBL 366.128800000000
	DBL 18.0000000000000	DBL 352.384600000000
	DBL 26.0000000000000	DBL 340.385840000000
	DBL 35.0000000000000	DBL 330.882640000000
	DBL 45.0000000000000	DBL 322.882700000000
	DBL 56.0000000000000	DBL 315.862560000000
	DBL 70.0000000000000	DBL 308.537000000000
	DBL 88.0000000000000	DBL 300.699200000000
	DBL 111.000000000000	DBL 292.129180000000
	DBL 179.000000000000	DBL 269.295380000000
	DBL 202.000000000000	DBL 260.411240000000
	DBL 220.000000000000	DBL 251.721000000000
	DBL 235.000000000000	DBL 241.587000000000
	DBL 245.000000000000	DBL 230.679950000000
	DBL 255.000000000000	DBL 208.180450000000
	END
;;
;;
;; Point pair table: pptable51
;;
pptable51
	DBL 0.00000000000000	DBL 418.480000000000
	DBL 43.0000000000000	DBL 364.778590000000
	DBL 57.0000000000000	DBL 352.932610000000
	DBL 73.0000000000000	DBL 342.307490000000
	DBL 92.0000000000000	DBL 331.932240000000
	DBL 116.000000000000	DBL 320.693280000000
	DBL 175.000000000000	DBL 295.562750000000
	DBL 193.000000000000	DBL 287.177090000000
	DBL 207.000000000000	DBL 279.774640000000
	DBL 218.000000000000	DBL 272.992340000000
	DBL 227.000000000000	DBL 266.342950000000
	DBL 235.000000000000	DBL 258.959650000000
	DBL 241.000000000000	DBL 251.748000000000
