;; @T(#) @T(#)
;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;
;; Engineering Telemetry Template File  -  Sampling Composition information  -  Part 3 of 8
;;
;;
;; MSID		Field name
;;				Sampling
;;				Composition (normal, super, counter, range)
;;				|
;;				|		        Sampling Rate (samples per major frame)
;;				|		        |
;;				|		        |		Sampling Offset (bytes between samples)
;;				|		        |		|
;;				|		        |		|	
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;
;;
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
1CBAT		1CBAT		normal			1		0
1CBBT		1CBBT		normal			1		0
1CRAT		1CRAT		normal			1		0
1CRBT		1CRBT		normal			1		0
1DABOAEN	1DABOAEN	normal			1		0
1DABOAON	1DABOAON	normal			1		0
1DABOBEN	1DABOBEN	normal			1		0
1DABOBON	1DABOBON	normal			1		0
1DACTBT		1DACTBT		normal			1		0
1DAHACU		1DAHACU		normal			1		0
1DAHAT		1DAHAT		normal			1		0
1DAHAVO		1DAHAVO		normal			1		0
1DAHBCU		1DAHBCU		normal			1		0
1DAHBT		1DAHBT		normal			1		0
1DAHBVO		1DAHBVO		normal			1		0
1DAHHAVO	1DAHHAVO	normal			1		0
1DAHHBVO	1DAHHBVO	normal			1		0
1DAHTAEN	1DAHTAEN	normal			1		0
1DAHTAON	1DAHTAON	normal			1		0
1DAHTBEN	1DAHTBEN	normal			1		0
1DAHTBON	1DAHTBON	normal			1		0
1DE28AOC	1DE28AOC	normal			1		0
1DE28AVO	1DE28AVO	normal			1		0
1DE28BOC	1DE28BOC	normal			1		0
1DE28BVO	1DE28BVO	normal			1		0
1DEAMZT		1DEAMZT		normal			1		0
1DEDBAON	1DEDBAON	normal			1		0
1DEDBBON	1DEDBBON	normal			1		0
1DEICACU	1DEICACU	normal			1		0
1DEICBCU	1DEICBCU	normal			1		0
1DEMVAOC	1DEMVAOC	normal			1		0
1DEMVBOC	1DEMVBOC	normal			1		0
1DEN0AVO	1DEN0AVO	normal			1		0
1DEN0BVO	1DEN0BVO	normal			1		0
1DEN1AVO	1DEN1AVO	normal			1		0
1DEN1BVO	1DEN1BVO	normal			1		0
1DEP0AVO	1DEP0AVO	normal			1		0
1DEP0BVO	1DEP0BVO	normal			1		0
1DEP1AVO	1DEP1AVO	normal			1		0
1DEP1BVO	1DEP1BVO	normal			1		0
1DEP2AVO	1DEP2AVO	normal			1		0
1DEP2BVO	1DEP2BVO	normal			1		0
1DEP3AVO	1DEP3AVO	normal			1		0
1DEP3BVO	1DEP3BVO	normal			1		0
1DEPSA		1DEPSA		normal			1		0
1DEPSAX		1DEPSAX		normal			1		0
1DEPSB		1DEPSB		normal			1		0
1DEPSBX		1DEPSBX		normal			1		0
1DP28AVO	1DP28AVO	normal			1		0
1DP28BVO	1DP28BVO	normal			1		0
1DPAMYT		1DPAMYT		normal			1		0
1DPAMZT		1DPAMZT		normal			1		0
1DPCPAOC	1DPCPAOC	normal			1		0
1DPCPBOC	1DPCPBOC	normal			1		0
1DPDBAON	1DPDBAON	normal			1		0
1DPDBBON	1DPDBBON	normal			1		0
1DPICACU	1DPICACU	normal			1		0
1DPICBCU	1DPICBCU	normal			1		0
1DPP0AVO	1DPP0AVO	normal			1		0
1DPP0BVO	1DPP0BVO	normal			1		0
1DPPSA		1DPPSA		normal			1		0
1DPPSAX		1DPPSAX		normal			1		0
1DPPSB		1DPPSB		normal			1		0
1DPPSBX		1DPPSBX		normal			1		0
1HOPRAPR	1HOPRAPR	normal			1		0
1HOPRBPR	1HOPRBPR	normal			1		0
1LVDBAON	1LVDBAON	normal			1		0
1LVDBBON	1LVDBBON	normal			1		0
1MAHCAT		1MAHCAT		normal			1		0
1MAHCBT		1MAHCBT		normal			1		0
1MCATATR	1MCATATR	normal			1		0
1MCATBTR	1MCATBTR	normal			1		0
1MCDRACL	1MCDRACL	normal			1		0
1MCDRBCL	1MCDRBCL	normal			1		0
1MDBUAON	1MDBUAON	normal			1		0
1MDBUBON	1MDBUBON	normal			1		0
1MECLACL	1MECLACL	normal			1		0
1MECLBCL	1MECLBCL	normal			1		0
1MEOPAOP	1MEOPAOP	normal			1		0
1MEOPBOP	1MEOPBOP	normal			1		0
1MIPWAON	1MIPWAON	normal			1		0
1MIPWBON	1MIPWBON	normal			1		0
1MODRAOP	1MODRAOP	normal			1		0
1MODRBOP	1MODRBOP	normal			1		0
1OAHBT		1OAHBT		normal			1		0
1OHIRADF	1OHIRADF	normal			1		0
1OLORADF	1OLORADF	normal			1		0
1PDEAAT		1PDEAAT		normal			1		0
1PDEABT		1PDEABT		normal			1		0
1PRDBAON	1PRDBAON	normal			1		0
1PRDBBON	1PRDBBON	normal			1		0
1VVATATR	1VVATATR	normal			1		0
1VVATBTR	1VVATBTR	normal			1		0
1VVCDACL	1VVCDACL	normal			1		0
1VVCDBCL	1VVCDBCL	normal			1		0
1VVCLACL	1VVCLACL	normal			1		0
1VVCLBCL	1VVCLBCL	normal			1		0
1VVDBAON	1VVDBAON	normal			1		0
1VVDBBON	1VVDBBON	normal			1		0
1VVODAOP	1VVODAOP	normal			1		0
1VVODBOP	1VVODBOP	normal			1		0
