"2IMBPAST",2,-1.0,1.0,-2.0,2.0,,5,"A";
"2IMHBLV",1,85.0,128.0,84.0,129.0,,5,"A";
"2IMHBLV",2,126.0,128.0,125.0,129.0,,5,"A";
"2IMHVATM",2,-150.0,150.0,-200.0,200.0,,5,"A";
"2IMHVATM",1,-32.0,50.0,-35.0,55.0,,5,"A";
"2IMHVLV",1,78.0,128.0,77.0,129.0,,5,"A";
"2IMHVLV",2,126.0,128.0,125.0,129.0,,5,"A";
"2IMINATM",2,-150.0,150.0,-200.0,200.0,,5,"A";
"2IMINATM",1,-12.0,35.0,-15.0,40.0,,5,"A";
"2IMTPAST",1,-1.0,80.0,-2.0,81.0,,5,"A";
"2IMTPAST",2,-1.0,1.0,-2.0,2.0,,5,"A";
"2LLDIALV",2,-1.0,256.0,-2.0,257.0,,5,"A";
"2LLDIALV",1,130.0,132.0,129.0,133.0,,5,"A";
"2LVPLATM",2,-150.0,150.0,-200.0,200.0,,5,"A";
"2LVPLATM",1,-32.0,50.0,-35.0,55.0,,5,"A";
"2N15VAVL",2,-0.5,0.5,-1.0,1.0,,5,"A";
"2N15VAVL",1,-16.0,-14.0,-17.0,-13.0,,5,"A";
"2N15VBVL",1,-0.5,0.5,-1.0,1.0,,5,"A";
"2P05VAVL",2,-0.25,1.0,-0.5,1.5,,5,"A";
"2P05VAVL",1,4.5,5.25,4.0,5.5,,5,"A";
"2P05VBVL",1,-0.25,1.0,-0.5,1.5,,5,"A";
"2P15VAVL",2,-0.25,1.0,-0.5,1.5,,5,"A";
"2P15VAVL",1,14.0,16.0,13.0,17.0,,5,"A";
"2P15VBVL",1,-0.25,1.0,-0.5,1.5,,5,"A";
"2P24VAVL",2,-0.25,1.0,-0.5,1.5,,5,"A";
"2P24VAVL",1,23.0,25.0,22.0,26.0,,5,"A";
"2P24VBVL",1,-0.25,1.0,-0.5,1.5,,5,"A";
"2PMT1T",1,0,35,-37.5,47.5,,5,"A";
"2PMT2T",1,0,35,-37.5,47.5,,5,"A";
"2PRBSCR",2,-9.0,9.0,-10.0,10.0,,5,"A";
"2PRBSCR",1,1.239,1.921,0.898,2.262,,5,"A";
"2PRBSVL",2,-40.0,40.0,-50.0,50.0,,5,"A";
"2PRBSVL",1,23.0,34.0,22.0,35.0,,5,"A";
"2RSRFALV",2,-1.0,256.0,-2.0,257.0,,5,"A";
"2RSRFALV",1,172.0,174.0,171.0,175.0,,5,"A";
"2S1HVLV",2,-1.0,256.0,-2.0,257.0,,5,"A";
"2S1HVLV",1,80.0,128.0,79.0,129.0,,5,"A";
"2S1HVST",2,-1.0,16.0,-2.0,17.0,,5,"A";
"2S1HVST",1,-1.0,13.0,-2.0,14.0,,5,"A";
"2S2HVLV",2,-1.0,256.0,-2.0,257.0,,5,"A";
"2S2HVLV",1,126.0,128.0,125.0,129.0,,5,"A";
"2S2HVST",2,-1.0,16.0,-2.0,17.0,,5,"A";
"2S2HVST",1,-1.0,1.0,-2.0,2.0,,5,"A";
"2SHEV1RT",2,-1.0,65536.0,-2.0,65537.0,,5,"A";
"2SHEV1RT",1,-1.0,150.0,-2.0,200.0,,5,"A";
"2SHEV2RT",2,-1.0,65536.0,-2.0,65537.0,,5,"A";
"2SHEV2RT",1,-1.0,150.0,-2.0,200.0,,5,"A";
"2SMTRATM",2,-150.0,150.0,-200.0,200.0,,5,"A";
"2SMTRATM",1,-17.0,45.0,-20.0,50.0,,5,"A";
"2SPBPAST",1,-1.0,1.0,-2.0,2.0,,5,"A";
"2SPBPAST",2,-1.0,103.0,-2.0,104.0,,5,"A";
"2SPHBLV",1,126.0,128.0,125.0,129.0,,5,"A";
"2SPHBLV",2,79.0,128.0,78.0,129.0,,5,"A";
"2SPHVATM",2,-150.0,150.0,-200.0,200.0,,5,"A";
"2SPHVATM",1,-32.0,50.0,-35.0,55.0,,5,"A";
"2SPHVLV",1,126.0,128.0,125.0,129.0,,5,"A";
"2SPHVLV",2,72.0,128.0,71.0,129.0,,5,"A";
"2SPINATM",2,-150.0,150.0,-200.0,200.0,,5,"A";
"2SPINATM",1,-12.0,35.0,-15.0,40.0,,5,"A";
"2SPTPAST",1,-1.0,1.0,-2.0,2.0,,5,"A";
"2SPTPAST",2,-1.0,91.0,-2.0,92.0,,5,"A";
"2TLEV1RT",2,-1.0,65536.0,-2.0,65537.0,,5,"A";
"2TLEV1RT",1,-1.0,50.0,-2.0,100.0,,5,"A";
"2TLEV2RT",2,-1.0,65536.0,-2.0,65537.0,,5,"A";
"2TLEV2RT",1,-1.0,50.0,-2.0,100.0,,5,"A";
"2ULDIALV",2,-1.0,256.0,-2.0,257.0,,5,"A";
"2ULDIALV",1,254.0,256.0,253.0,257.0,,5,"A";
"2UVLSPXT",1,0,35,-47.5,47.5,,5,"A";
"2VLEV1RT",2,-1.0,65536.0,-2.0,65537.0,,5,"A";
"2VLEV1RT",1,-1.0,50.0,-2.0,100.0,,5,"A";
"2VLEV2RT",2,-1.0,65536.0,-2.0,65537.0,,5,"A";
"2VLEV2RT",1,-1.0,50.0,-2.0,100.0,,5,"A";
"2WDTHAST",2,-1.0,256.0,-2.0,257.0,,5,"A";
"2WDTHAST",1,2.0,4.0,1.0,5.0,,5,"A";
"3BTU_BPT",1,-30,20,-62.5,52.5,,5,"A";
"3FABRAAT",1,-20,35,-48.0,80.0,,5,"A";
"3FABRCAT",1,-20,35,-48.0,80.0,,5,"A";
"3FAFLAAT",1,-22.0,20.0,-25.0,24.0,,5,"A";
"3FAFLBAT",1,-22.0,20.0,-25.0,24.0,,5,"A";
"3FAFLCAT",1,-22.0,30,-25.0,35,,5,"A";
"3FAMTRAT",1,-20,20,-48.0,50.0,,5,"A";
"3FAMYZAT",1,-20,35,-48.0,80.0,,5,"A";
"3FAPOS",1,-11313.0,6462.0,-11580.0,6749.0,,5,"A";
"3FAPSAT",1,-20,60,-39.5,67.5,,5,"A";
"3FAPYZAT",1,-20,35,-48.0,80.0,,5,"A";
"3FARALAT",1,-20,35,-48.0,80.0,,5,"A";
"3FASEAAT",1,-20,30.0,-39.5,35.5,,5,"A";
"3FLCABPT",1,-20,20,-37.5,37.5,,5,"A";
"3LDRTPOS",1,-10.0,250.0,-25.0,500.0,,5,"A";
"3MRMMXMV",1,-2.0,11.0,-3.0,13.0,,5,"A";
"3RCTUBPT",1,-20,20,-42.5,42.5,,5,"A";
"3SFLXAST",1,-80.0,30.0,-100.0,50.0,,5,"A";
"3SFLXBST",1,-80.0,30.0,-100.0,50.0,,5,"A";
"3SFLXCST",1,-80.0,30.0,-100.0,50.0,,5,"A";
"3SMOTOC",1,-2.0,10.0,-3.0,100.0,,5,"A";
"3SMOTSTL",1,-2.0,1.0,-3.0,5.0,,5,"A";
"3TRMTRAT",1,-30,45.0,-48.0,50.0,,5,"A";
"3TSCPOS",1,-103951.0,104445.0,-104428.0,104923.0,,5,"A";
"3TSMXCET",1,-120.0,-10,-125.0,80.0,,5,"A";
"3TSMXSPT",1,-70,10,-125.0,80.0,,5,"A";
"3TSMYDPT",1,-70,-10,-125.0,80.0,,5,"A";
"3TSPYFET",1,-70,-10,-125.0,80.0,,5,"A";
"3TSPZDET",1,-40,20,-125.0,80.0,,5,"A";
"3TSPZSPT",1,-40,20,-125.0,80.0,,5,"A";
"3TTACS1T",1,-20,20,-54.5,80.0,,5,"A";
"3TTACS2T",1,-20,20,-54.5,80.0,,5,"A";
"3TTACS3T",1,-20,20,-54.5,80.0,,5,"A";
"3TTBRGBT",1,-40,20,-54.5,80.0,,5,"A";
"3TTHRC1T",1,-30,20,-54.5,80.0,,5,"A";
"3TTHRC2T",1,-30,20,-54.5,80.0,,5,"A";
"3TTHRC3T",1,-30,20,-54.5,80.0,,5,"A";
"3TTRALAT",1,-50,10,-67.5,80.0,,5,"A";
"3TTRALCT",1,-25,10,-54.5,80.0,,5,"A";
"3TTVALVT",1,-50,10,-77.0,80.0,,5,"A";
"4ALL1AT",1,-1099,1099,-1100,1100,,5,"A";
"4ALL1BT",1,-1099,1099,-1100,1100,,5,"A";
"4ALL2AT",1,-1099,1099,-1100,1100,,5,"A";
"4ALL2BT",1,-1099,1099,-1100,1100,,5,"A";
"4CSDHAV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4CSDHAV",1,2.35,2.65,2.25,2.75,,5,"A";
"4CSDHBV",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4CSDHBV",2,2.35,2.65,2.25,2.75,,5,"A";
"4CSDOAV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4CSDOAV",1,2.35,2.65,2.25,2.75,,5,"A";
"4CSDOBV",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4CSDOBV",2,2.35,2.65,2.25,2.75,,5,"A";
"4HFSPAT",1,48,53,-9.0,104.0,,5,"A";
"4HFSPBT",1,48,53,-9.0,104.0,,5,"A";
"4HLL1AT",1,-1099,1099,-1100,1100,,5,"A";
"4HLL1BT",1,-1099,1099,-1100,1100,,5,"A";
"4HLL2AT",1,-1099,1099,-1100,1100,,5,"A";
"4HLL2BT",1,-1099,1099,-1100,1100,,5,"A";
"4IN15AV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4IN15AV",1,-15.25,-14.75,-15.5,-14.5,,5,"A";
"4IN15BV",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4IN15BV",2,-15.25,-14.75,-15.5,-14.5,,5,"A";
"4IP15AV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4IP15AV",1,14.75,15.25,14.5,15.5,,5,"A";
"4IP15BV",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4IP15BV",2,14.75,15.25,14.5,15.5,,5,"A";
"4IP5AV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4IP5AV",1,4.75,5.25,4.5,5.5,,5,"A";
"4IP5BV",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4IP5BV",2,4.75,5.25,4.5,5.5,,5,"A";
"4LFSPAT",1,48,53,-9.0,104.0,,5,"A";
"4LFSPBT",1,48,53,-9.0,104.0,,5,"A";
"4LLL1AT",1,-1099,1099,-1100,1100,,5,"A";
"4LLL1BT",1,-1099,1099,-1100,1100,,5,"A";
"4LLL2AT",1,-1099,1099,-1100,1100,,5,"A";
"4LLL2BT",1,-1099,1099,-1100,1100,,5,"A";
"4MP28AV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4MP28AV",1,27.5,28.5,27.0,29.0,,5,"A";
"4MP28BV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4MP28BV",1,27.5,28.5,27.0,29.0,,5,"A";
"4MP5AV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4MP5AV",1,4.75,5.25,4.5,5.5,,5,"A";
"4MP5BV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4MP5BV",1,4.75,5.25,4.5,5.5,,5,"A";
"4OAVHRMT",1,68,72,45.0,95.0,,5,"A";
"4OAVOBAT",1,48,60,-9.0,95.0,,5,"A";
"4PRT1AT",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT1AT",1,-90,-60,-220.0,95.0,,5,"A";
"4PRT1BT",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT1BT",2,-120.0,62.5,-220.0,95.0,,5,"A";
"4PRT2AT",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT2AT",1,-90,-60,-220.0,95.0,,5,"A";
"4PRT2BT",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT2BT",2,-120.0,62.5,-220.0,95.0,,5,"A";
"4PRT3AT",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT3AT",1,0,10,-220.0,95.0,,5,"A";
"4PRT3BT",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT3BT",2,-120.0,62.5,-220.0,95.0,,5,"A";
"4PRT4AT",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT4AT",1,-90,-60,-220.0,95.0,,5,"A";
"4PRT4BT",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT4BT",2,-120.0,62.5,-220.0,95.0,,5,"A";
"4PRT5AT",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT5AT",1,-90,-60,-220.0,95.0,,5,"A";
"4PRT5BT",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRT5BT",2,-120.0,62.5,-220.0,95.0,,5,"A";
"4PRTAV",2,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRTAV",1,4.75,5.25,4.5,5.5,,5,"A";
"4PRTBV",1,-1099.0,1099.0,-1100.0,1100.0,,5,"A";
"4PRTBV",2,4.75,5.25,4.5,5.5,,5,"A";
"4RT555T",1,68,72,45.0,95.0,,5,"A";
"4RT556T",1,68,72,45.0,95.0,,5,"A";
"4RT557T",1,68,72,45.0,95.0,,5,"A";
"4RT558T",1,68,72,45.0,95.0,,5,"A";
"4RT559T",1,68,72,45.0,95.0,,5,"A";
"4RT560T",1,68,72,45.0,95.0,,5,"A";
"4RT561T",1,68,72,45.0,95.0,,5,"A";
"4RT562T",1,68,74,45.0,95.0,,5,"A";
"4RT563T",1,68,74,45.0,95.0,,5,"A";
"4RT564T",1,68,74,45.0,95.0,,5,"A";
"4RT565T",1,68,74,45.0,95.0,,5,"A";
"4RT567T",1,68,74,45.0,95.0,,5,"A";
"4RT568T",1,48,60,-9.0,95.0,,5,"A";
"4RT569T",1,68,72,45.0,95.0,,5,"A";
"4RT570T",1,68,72,45.0,95.0,,5,"A";
"4RT575T",1,48,60,-9.0,95.0,,5,"A";
"4RT576T",1,46,50,-9.0,95.0,,5,"A";
"4RT577T",1,48,60,-9.0,95.0,,5,"A";
"4RT578T",1,48,60,-9.0,95.0,,5,"A";
"4RT579T",1,48,60,-9.0,95.0,,5,"A";
"4RT580T",1,48,60,-9.0,95.0,,5,"A";
