"1DE28BOC",3,1,23,11,3,1;
"1DE28BOC",4,1,23,11,3,1;
"1DE28BOC",5,1,23,11,3,1;
"1DE28BOC",6,1,17,32,3,1;
"1DE28BVO",1,1,107,11,0,8;
"1DE28BVO",2,1,107,11,0,8;
"1DE28BVO",3,1,107,11,0,8;
"1DE28BVO",4,1,107,11,0,8;
"1DE28BVO",5,1,107,11,0,8;
"1DE28BVO",6,1,74,32,0,8;
"1DEAMZT",1,1,108,11,0,8;
"1DEAMZT",2,1,108,11,0,8;
"1DEAMZT",3,1,108,11,0,8;
"1DEAMZT",4,1,108,11,0,8;
"1DEAMZT",5,1,108,11,0,8;
"1DEAMZT",6,1,75,32,0,8;
"1DEDBAON",1,1,18,11,2,1;
"1DEDBAON",2,1,18,11,2,1;
"1DEDBAON",3,1,18,11,2,1;
"1DEDBAON",4,1,18,11,2,1;
"1DEDBAON",5,1,18,11,2,1;
"1DEDBAON",6,1,12,32,2,1;
"1DEDBBON",1,1,22,11,2,1;
"1DEDBBON",2,1,22,11,2,1;
"1DEDBBON",3,1,22,11,2,1;
"1DEDBBON",4,1,22,11,2,1;
"1DEDBBON",5,1,22,11,2,1;
"1DEDBBON",6,1,16,32,2,1;
"1DEICACU",1,1,109,11,0,8;
"1DEICACU",2,1,109,11,0,8;
"1DEICACU",3,1,109,11,0,8;
"1DEICACU",4,1,109,11,0,8;
"1DEICACU",5,1,109,11,0,8;
"1DEICACU",6,1,76,32,0,8;
"1DEICBCU",1,1,110,11,0,8;
"1DEICBCU",2,1,110,11,0,8;
"1DEICBCU",3,1,110,11,0,8;
"1DEICBCU",4,1,110,11,0,8;
"1DEICBCU",5,1,110,11,0,8;
"1DEICBCU",6,1,77,32,0,8;
"1DEMVAOC",1,1,19,11,7,1;
"1DEMVAOC",2,1,19,11,7,1;
"1DEMVAOC",3,1,19,11,7,1;
"1DEMVAOC",4,1,19,11,7,1;
"1DEMVAOC",5,1,19,11,7,1;
"1DEMVAOC",6,1,13,32,7,1;
"1DEMVBOC",1,1,23,11,7,1;
"1DEMVBOC",2,1,23,11,7,1;
"1DEMVBOC",3,1,23,11,7,1;
"1DEMVBOC",4,1,23,11,7,1;
"1DEMVBOC",5,1,23,11,7,1;
"1DEMVBOC",6,1,17,32,7,1;
"1DEN0AVO",1,1,111,11,0,8;
"1DEN0AVO",2,1,111,11,0,8;
"1DEN0AVO",3,1,111,11,0,8;
"1DEN0AVO",4,1,111,11,0,8;
"1DEN0AVO",5,1,111,11,0,8;
"1DEN0AVO",6,1,78,32,0,8;
"1DEN0BVO",1,1,112,11,0,8;
"1DEN0BVO",2,1,112,11,0,8;
"1DEN0BVO",3,1,112,11,0,8;
"1DEN0BVO",4,1,112,11,0,8;
"1DEN0BVO",5,1,112,11,0,8;
"1DEN0BVO",6,1,79,32,0,8;
"1DEN1AVO",1,1,113,11,0,8;
"1DEN1AVO",2,1,113,11,0,8;
"1DEN1AVO",3,1,113,11,0,8;
"1DEN1AVO",4,1,113,11,0,8;
"1DEN1AVO",5,1,113,11,0,8;
"1DEN1AVO",6,1,80,32,0,8;
"1DEN1BVO",1,1,114,11,0,8;
"1DEN1BVO",2,1,114,11,0,8;
"1DEN1BVO",3,1,114,11,0,8;
"1DEN1BVO",4,1,114,11,0,8;
"1DEN1BVO",5,1,114,11,0,8;
"1DEN1BVO",6,1,81,32,0,8;
"1DEP0AVO",1,1,115,11,0,8;
"1DEP0AVO",2,1,115,11,0,8;
"1DEP0AVO",3,1,115,11,0,8;
"1DEP0AVO",4,1,115,11,0,8;
"1DEP0AVO",5,1,115,11,0,8;
"1DEP0AVO",6,1,82,32,0,8;
"1DEP0BVO",1,1,116,11,0,8;
"1DEP0BVO",2,1,116,11,0,8;
"1DEP0BVO",3,1,116,11,0,8;
"1DEP0BVO",4,1,116,11,0,8;
"1DEP0BVO",5,1,116,11,0,8;
"1DEP0BVO",6,1,83,32,0,8;
"1DEP1AVO",1,1,117,11,0,8;
"1DEP1AVO",2,1,117,11,0,8;
"1DEP1AVO",3,1,117,11,0,8;
"1DEP1AVO",4,1,117,11,0,8;
"1DEP1AVO",5,1,117,11,0,8;
"1DEP1AVO",6,1,84,32,0,8;
"1DEP1BVO",1,1,118,11,0,8;
"1DEP1BVO",2,1,118,11,0,8;
"1DEP1BVO",3,1,118,11,0,8;
"1DEP1BVO",4,1,118,11,0,8;
"1DEP1BVO",5,1,118,11,0,8;
"1DEP1BVO",6,1,85,32,0,8;
"1DEP2AVO",1,1,119,11,0,8;
"1DEP2AVO",2,1,119,11,0,8;
"1DEP2AVO",3,1,119,11,0,8;
