"1WRBT",1,0.0,1.0,3,-238.67,2.218,0.002009,-0.000003181,,,,,,;
"2CE00ATM",1,0.0,1.0,3,65.4,-0.7545,0.003375,-0.00000873,,,,,,;
"2CE01ATM",1,0.0,1.0,3,65.4,-0.7545,0.003375,-0.00000873,,,,,,;
"2CEAHVPT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2CHTRPZT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2CONDMXT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2DCENTRT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2DTSTATT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2FE00ATM",1,0.0,1.0,3,65.4,-0.7545,0.003375,-0.00000873,,,,,,;
"2FEPRATM",1,0.0,1.0,3,171.14,-3.242,0.021696,-0.00005552,,,,,,;
"2FHTRMZT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2FRADPYT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2IMHVATM",1,0.0,1.0,3,65.4,-0.7545,0.003375,-0.00000873,,,,,,;
"2IMINATM",1,0.0,1.0,3,171.14,-3.242,0.021696,-0.00005552,,,,,,;
"2LVPLATM",1,0.0,1.0,3,65.4,-0.7545,0.003375,-0.00000873,,,,,,;
"2PMT1T",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2PMT2T",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"2SMTRATM",1,0.0,1.0,3,-58.4,0.932,-0.00495,0.0000128,,,,,,;
"2SPHVATM",1,0.0,1.0,3,65.4,-0.7545,0.003375,-0.00000873,,,,,,;
"2SPINATM",1,0.0,1.0,3,171.14,-3.242,0.021696,-0.00005552,,,,,,;
"2UVLSPXT",1,0.0,1.0,3,90.9058,-1.42289,0.00835591,-0.0000222603,,,,,,;
"4ALL1AT",1,0.0,1.0,9,268.767835,-14.5971822,0.590122396,-0.014779412,0.00022850068,-0.0000022179158,1.34997518E-08,-4.98774495E-11,1.02015218E-13,-8.84451853E-17;
